Código Depto ;Departamento;Código Mun ;Nombre;Tipo;LATITUD;LONGITUD;ZONA ROJA; POBLACION 
05;ANTIOQUIA;5001;MEDELLÍN;Municipio;6,257590259;-75,61103107;; 2.569.007 
05;ANTIOQUIA;5002;ABEJORRAL;Municipio;5,803728154;-75,43847353;; 18.779 
5;ANTIOQUIA;5004;ABRIAQUÍ;Municipio;6,627569378;-76,08597756;OCCIDENTE ANTIOQUEÑO; 1.870 
05;ANTIOQUIA;5021;ALEJANDRÍA;Municipio;6,365534125;-75,09059702;; 3.278 
05;ANTIOQUIA;5030;AMAGÁ;Municipio;6,032921994;-75,7080031;; 30.561 
05;ANTIOQUIA;5031;AMALFI;Municipio;6,977788843;-74,9812393;BAJO CAUCA / NORDESTE ANTIOQUEÑO; 22.860 
05;ANTIOQUIA;5034;ANDES;Municipio;5,604993248;-75,94128391;; 47.747 
05;ANTIOQUIA;5036;ANGELÓPOLIS;Municipio;6,121430303;-75,71594966;; 9.631 
05;ANTIOQUIA;5038;ANGOSTURA;Municipio;6,861498764;-75,358316;; 10.832 
05;ANTIOQUIA;5040;ANORÍ;Municipio;7,193110778;-75,10848954;BAJO CAUCA / NORDESTE ANTIOQUEÑO; 18.166 
05;ANTIOQUIA;5042;SANTA FÉ DE ANTIOQUIA;Municipio;6,535711576;-75,90426658;OCCIDENTE ANTIOQUEÑO; 25.395 
05;ANTIOQUIA;5044;ANZÁ;Municipio;6,293546613;-75,91736927;OCCIDENTE ANTIOQUEÑO; 7.619 
05;ANTIOQUIA;5045;APARTADÓ;Municipio;7,86047815;-76,58236264;URABÁ; 206.885 
05;ANTIOQUIA;5051;ARBOLETES;Municipio;8,611395262;-76,41478317;URABÁ; 45.710 
05;ANTIOQUIA;5055;ARGELIA;Municipio;5,708114524;-75,09469795;; 8.036 
05;ANTIOQUIA;5059;ARMENIA;Municipio;6,163683758;-75,80995528;OCCIDENTE ANTIOQUEÑO; 3.765 
05;ANTIOQUIA;5079;BARBOSA;Municipio;6,443417935;-75,32924085;; 53.943 
05;ANTIOQUIA;5086;BELMIRA;Municipio;6,665853953;-75,68621659;; 7.041 
05;ANTIOQUIA;5088;BELLO;Municipio;6,358841086;-75,58973588;; 500.098 
05;ANTIOQUIA;5091;BETANIA;Municipio;5,727081285;-75,98689107;; 8.758 
05;ANTIOQUIA;5093;BETULIA;Municipio;6,185783612;-75,95649246;; 17.815 
05;ANTIOQUIA;5101;CIUDAD BOLÍVAR;Municipio;5,840995666;-76,01065253;; 26.434 
05;ANTIOQUIA;5107;BRICEÑO;Municipio;7,111788462;-75,56223474;BAJO CAUCA / NORDESTE ANTIOQUEÑO; 8.652 
05;ANTIOQUIA;5113;BURITICÁ;Municipio;6,80906489;-75,91206595;OCCIDENTE ANTIOQUEÑO; 6.403 
05;ANTIOQUIA;5120;CÁCERES;Municipio;7,665155105;-75,22369744;BAJO CAUCA / NORDESTE ANTIOQUEÑO; 43.239 
05;ANTIOQUIA;5125;CAICEDO;Municipio;6,423463639;-75,99351498;OCCIDENTE ANTIOQUEÑO; 8.519 
05;ANTIOQUIA;5129;CALDAS;Municipio;6,054446841;-75,62642674;; 82.234 
05;ANTIOQUIA;5134;CAMPAMENTO;Municipio;7,036017478;-75,28766178;; 8.778 
05;ANTIOQUIA;5138;CAÑASGORDAS;Municipio;6,814950023;-76,02689632;OCCIDENTE ANTIOQUEÑO; 16.700 
05;ANTIOQUIA;5142;CARACOLÍ;Municipio;6,33797388;-74,73354817;; 4.460 
05;ANTIOQUIA;5145;CARAMANTA;Municipio;5,555275296;-75,63082096;; 5.257 
05;ANTIOQUIA;5147;CAREPA;Municipio;7,757967437;-76,64374657;URABÁ; 63.141 
05;ANTIOQUIA;5148;EL CARMEN DE VIBORAL;Municipio;5,978078841;-75,2635361;; 49.642 
05;ANTIOQUIA;5150;CAROLINA;Municipio;6,754821442;-75,30590654;; 3.428 
05;ANTIOQUIA;5154;CAUCASIA;Municipio;7,867941792;-75,03501824;BAJO CAUCA / NORDESTE ANTIOQUEÑO; 126.161 
05;ANTIOQUIA;5172;CHIGORODÓ;Municipio;7,631665644;-76,63964213;URABÁ; 86.239 
05;ANTIOQUIA;5190;CISNEROS;Municipio;6,550065431;-75,08254116;; 8.735 
05;ANTIOQUIA;5197;COCORNÁ;Municipio;6,005593074;-75,16015403;; 14.891 
05;ANTIOQUIA;5206;CONCEPCIÓN;Municipio;6,376106187;-75,21785901;; 3.030 
05;ANTIOQUIA;5209;CONCORDIA;Municipio;6,057468678;-75,90014678;; 20.158 
05;ANTIOQUIA;5212;COPACABANA;Municipio;6,351882893;-75,50075633;; 74.408 
05;ANTIOQUIA;5234;DABEIBA;Municipio;6,992243782;-76,31426328;OCCIDENTE ANTIOQUEÑO; 22.835 
05;ANTIOQUIA;5237;DONMATÍAS;Municipio;6,492403905;-75,42227687;; 24.695 
05;ANTIOQUIA;5240;EBÉJICO;Municipio;6,326444922;-75,78331175;OCCIDENTE ANTIOQUEÑO; 12.452 
05;ANTIOQUIA;5250;EL BAGRE;Municipio;7,704633351;-74,66427726;BAJO CAUCA / NORDESTE ANTIOQUEÑO; 51.150 
